tickIdx,liquidityGross,liquidityNet
271680,6060018180622,-6060018180622
272280,4538579708481,-4538579708481
272580,692928641170,-692928641170
272760,15186459912781,-15186459912781
272820,128102359085,-128102359085
273180,1566304068670,-1566304068670
274200,931737671806,-931737671806
276300,28452297036684,-28452297036684
276420,19063099765268,-19063099765268
278940,5164088638751,-5164088638751
281220,30685899577909,-30685899577909
282180,2366835767353,-2366835767353
283260,3997348944906,-3997348944906
283800,1410203189999,-1410203189999
294600,6766124667,-6766124667
