transaction_hash,sender,recipient,gas,gasPrice,gasPriceAdjusted,value,WBTCTokens,ETHTokens,WBTCTokensAdjusted,ETHTokensAdjusted,block,timestamp
0xed24b6317726f544f6e3582b0534e2bf81a078a6bfce33f12509981305ce0d16,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,147340,60014196379,6.0014196379e-08,0.0,86112934,-21992539496892638733,0.86112934,-21.99253949689264,21166018,2024-11-11 17:45:23+00:00
0xafe2201eac5ebd330a4ff2597b629a8fccd881475fdd4b2729aac3b395bf3dbc,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,226104,103538464918,1.03538464918e-07,2.1166179e-11,-104207973,26776425698778094394,-1.04207973,26.776425698778095,21166179,2024-11-11 18:17:47+00:00
0x4cead1b2ba7bbc3625f68665b2b5d5d01f25f12d65ead86d11833b0ed9f41477,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145675,81436320499,8.1436320499e-08,0.0,-105008407,27006880082512420864,-1.05008407,27.00688008251242,21166187,2024-11-11 18:19:23+00:00
0x69c54377180cec0db5abd8bb93c0ae759b65acea2826f2194d67fd8d3f35357f,0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710,0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710,3718896,45127459722,4.5127459722e-08,0.0,-107377454,27641930373733219928,-1.07377454,27.64193037373322,21166248,2024-11-11 18:31:35+00:00
0x7bb7b6a2a6dfa936eaadef81509b831fe661dc8351144134b9190a77ca17f44c,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,329794,41516115525,4.1516115525e-08,0.0,-10054588,2589664530006613499,-0.10054588,2.5896645300066137,21166381,2024-11-11 18:58:47+00:00
0xa9741c43c5b730a7ea196891264a167550b9bac2b1269eac4f78fb4aab85ee01,0x1BF621Aa9ceE3F6154881c25041bB39AEd4ca7Cc,0x1BF621Aa9ceE3F6154881c25041bB39AEd4ca7Cc,213419,55766659062,5.5766659062e-08,0.0,-91689575,23626167525217852259,-0.91689575,23.626167525217852,21166382,2024-11-11 18:58:59+00:00
0x0a1d9cceede7c34630de45b6c6c4f06c925229bed8982c89945a9148d2edefd8,0x5D5B7c8A86f833bE90A96FF3860246a93F208bc0,0x0250f06fc76297Fe28D0981F0566F1c0445B3cFE,130512,40232773529,4.0232773529e-08,0.0,-34960939,9013595399643590000,-0.34960939,9.01359539964359,21166383,2024-11-11 18:59:11+00:00
0x39c6a829307fbcb648b3efdf0dee2df4c06c71153d15baf3bbad7a7a2f0edd2a,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,286104,1487441858531,1.487441858531e-06,2.1166423e-11,-433670726,112043835267809707035,-4.33670726,112.04383526780971,21166423,2024-11-11 19:07:11+00:00
0xdf50c56572d09d9039a55dee8f483d3aff68ddcf6ca5862e35b398fa11a34f24,0x4906FA6188f2614f2452a6D5c8dD11030619c493,0x817648d73Fd85c802cfdE8a29Eba9F68b783cA60,500000,42066135189,4.2066135189e-08,0.0,-100000000,25898197111862926068,-1.0,25.898197111862927,21166444,2024-11-11 19:11:23+00:00
0x0cbfcd0cab208d77ce054ac5dfac556cb762ab2cb8f32b44acc8d87296365013,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,1096009,59993391874,5.9993391874e-08,0.0,-578870252,150347560259564989606,-5.78870252,150.347560259565,21166482,2024-11-11 19:18:59+00:00
0x05f4f299f18233183edb95f30053a16fe1e67703099034902feb2ebf9380df87,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x6A000F20005980200259B80c5102003040001068,2080269,41817558627,4.1817558627e-08,0.0,789454419,-203632728456308369645,7.89454419,-203.63272845630837,21166509,2024-11-11 19:24:23+00:00
0x88cad15edd01c58b8fb50b5b2b8a2be023c39342ae23568bfcde52f29110eab1,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,133108,321564646795,3.21564646795e-07,0.0,-184344020,47713426334675279872,-1.8434402,47.71342633467528,21166509,2024-11-11 19:24:23+00:00
0x5a6cf12c492bdcc7e9bd1ddf711518ce98d27b1b43ba16eb9a5618ce16578184,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,211552,40137700639,4.0137700639e-08,5.675274e-12,-58181437,15075431995130755964,-0.58181437,15.075431995130756,21166518,2024-11-11 19:26:11+00:00
0x3d8e801a3671581c33a36b8ddc5cfaf0faae7c8b137645f697a0216180200569,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,211516,40060395201,4.0060395201e-08,5.36065e-12,-38612265,10009209493660700971,-0.38612265,10.0092094936607,21166519,2024-11-11 19:26:23+00:00
0x0039bdbc71694ebe3ff04afdd18fdf4052a5e380ae6c4c01a18e44614a80ca8b,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,284074,40152882236,4.0152882236e-08,1.579264e-11,-80253176,20814603395647048064,-0.80253176,20.814603395647048,21166529,2024-11-11 19:28:23+00:00
0x0f9620000d705736ec41f94cee46e92613e7e5d029f28759656e2005f7d5fcb6,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,140108,49674433727,4.9674433727e-08,0.0,-65511238,17001340216936296448,-0.65511238,17.001340216936295,21166530,2024-11-11 19:28:35+00:00
0x379c560718161b6fe5620d577b053d18073d4abe9c031a938aa9875061350e1f,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,223354,36625052236,3.6625052236e-08,1.37152e-11,-51016459,13245775554240413761,-0.51016459,13.245775554240414,21166535,2024-11-11 19:29:35+00:00
0x238304ec17f8333270d8f4aa60882a9de797e93652b8c68258ef565bbfdaaec0,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,223330,37577488658,3.7577488658e-08,1.5856128e-11,-57243593,14868925260589646823,-0.57243593,14.868925260589647,21166544,2024-11-11 19:31:23+00:00
0xb8ddd9603dab47fc1b7a1d607918c974d02978afc1c763ef311fa2a7422dc458,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,225902,37517230454,3.7517230454e-08,6.092288e-12,-108444865,28186803982698801891,-1.08444865,28.1868039826988,21166553,2024-11-11 19:33:11+00:00
0xb950b59b305740a582780e1444cd9ac1134be90ce7066155614e38a9353a6434,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,140531,59585900583,5.9585900583e-08,0.0,-74993102,19506207533088481280,-0.74993102,19.50620753308848,21166594,2024-11-11 19:41:23+00:00
0x69eb9d246931fdde193fbf61a4b230299a61d9232af74b812d13bfb4ae396da5,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145688,115016315271,1.15016315271e-07,0.0,-130690656,34021155993042784256,-1.30690656,34.02115599304278,21166647,2024-11-11 19:51:59+00:00
0xdbfebc326ab1575cd5407af09a977d68df12a6b1177c75ce358da246c2bad768,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,225326,41359339477,4.1359339477e-08,6.392832e-12,-57071089,14867673819773312787,-0.57071089,14.867673819773312,21166664,2024-11-11 19:55:23+00:00
0xfdf427f0ee909d880754ceae20307f39e23ac7bcb4f0f62ecb5e6380cd61161a,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,225894,44316409655,4.4316409655e-08,8.18176e-13,-138341103,36067308702119289941,-1.38341103,36.06730870211929,21166690,2024-11-11 20:00:35+00:00
0x59d649ce249dbe99bda6c420b8dc3296c1939897c45a75ecc49fdbcc8a30ac03,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,209726,43248528830,4.324852883e-08,1.6083722e-11,-53812570,14040299170975650886,-0.5381257,14.04029917097565,21166707,2024-11-11 20:03:59+00:00
0x3254cf9703004103ee01935169d662e0d3c184a0560066a2fbeb4a371b3fafe1,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,315088,45188217218,4.5188217218e-08,5.934853e-12,-115739449,30218058663750843000,-1.15739449,30.218058663750842,21166714,2024-11-11 20:05:23+00:00
0x582ab4b40417448c76febdd030b908cb4ef99d3682b4b43c786f6228a6bcd090,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145256,44667430325,4.4667430325e-08,0.0,-67434256,17619050312780636160,-0.67434256,17.619050312780637,21166717,2024-11-11 20:05:59+00:00
0x4371e17fe0a29bdc7279fcffae16c43b80c13ad3df91c169eecbae10decc2431,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145233,45430463895,4.5430463895e-08,0.0,-69983907,18295229046661183488,-0.69983907,18.295229046661184,21166721,2024-11-11 20:06:47+00:00
0xfc8652830653ed6745afad2d48d3b092130fd671803148e9f78bbb58b0db3e42,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145626,92956642870,9.295664287e-08,0.0,-115105239,30113073172142678016,-1.15105239,30.113073172142677,21166725,2024-11-11 20:07:35+00:00
0x604dcb9e75137c60087a737c490bdfde3e8aefb7a49ee12c63f2a893690538c7,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,145275,44719983948,4.4719983948e-08,0.0,-66509787,17412452582154016768,-0.66509787,17.412452582154017,21166735,2024-11-11 20:09:35+00:00
